publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths,cleaned_text
1 day ago,Abe samay kitna paisa le ga yr teri show ke rating se jada toh ad aaata.,0,@Short-r4r,FALSE,FALSE,FALSE,FALSE,,FALSE,,Abe samay kitna paisa le ga yr teri show ke rating se jada toh ad aaata
1 day ago (edited),Bhai Ab sponser ke jagah subscriber bhi magne laga,0,@RitikKumar-mv8ll,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai Ab sponser ke jagah subscriber bhi magne laga
1 day ago,Whyy dr sid whyyyyyyyyyyy,0,@kushal-c2s,FALSE,FALSE,FALSE,FALSE,,FALSE,,Whyy dr sid whyyyyyyyyyyy
1 day ago,is episode ko dekhne k bad Kapil Sharma show dekha tou hasi he nhi aayi,0,@shamsuddin2207,FALSE,FALSE,FALSE,FALSE,,FALSE,,is episode ko dekhne k bad Kapil Sharma show dekha tou hasi he nhi aayi
1 day ago,Subscribe Karo bhai rakhi vala ep dekh na hai,0,@somuade3115,FALSE,FALSE,FALSE,FALSE,,FALSE,,Subscribe Karo bhai rakhi vala ep dekh na hai
1 day ago,https://youtu.be/gddIZcDADqI?si=6GaA87fRtisJyz2Y,0,@realoganshbadboi7111,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,#laxmifamilyvlog483,0,@Laxmifamilyvlog483,FALSE,FALSE,FALSE,FALSE,,FALSE,,laxmifamilyvlog483
1 day ago,Bhai jo ye bodyguard kada hai iskee jagah Raghu ko kada karde thodi der wo bhi baitha jayega 😊😊,0,@Saurabhgargvsb,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai jo ye bodyguard kada hai iskee jagah Raghu ko kada karde thodi der wo bhi baitha jayega :smilingfacewithsmilingeyes::smilingfacewithsmilingeyes:
1 day ago,Sab nashe me hai wtf??,0,@R_R_R369,FALSE,FALSE,FALSE,FALSE,,FALSE,,Sab nashe me hai wtf
1 day ago,Awesome,0,@adityaraj9213,FALSE,FALSE,FALSE,FALSE,,FALSE,,Awesome
1 day ago,7 million kuch sada hi ho geya 🙂,0,@RounackDas-m7z,FALSE,FALSE,FALSE,FALSE,,FALSE,,7 million kuch sada hi ho geya :slightlysmilingface:
1 day ago,Call ranveer alhabadia on panel...,0,@crashminer3087,FALSE,FALSE,FALSE,FALSE,,FALSE,,Call ranveer alhabadia on panel
1 day ago,Pw,0,@happininghappy,FALSE,FALSE,FALSE,FALSE,,FALSE,,Pw
1 day ago,@laxmifamilyvlog483,0,@Laxmifamilyvlog483,FALSE,FALSE,FALSE,FALSE,,FALSE,,laxmifamilyvlog483
1 day ago,bohaat killing!,0,@paritoshpradhan2699,FALSE,FALSE,FALSE,FALSE,,FALSE,,bohaat killing
1 day ago,Samay bhai op,0,@sandeshvanwadi9467,FALSE,FALSE,FALSE,FALSE,,TRUE,9,Samay bhai op
1 day ago,Bhai Raghu naam bhagwan ka he....bhagwan ke naam ka majak mat udaon🙏🏻,0,@jayeshvaishnav4383,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai Raghu naam bhagwan ka hebhagwan ke naam ka majak mat udaon:foldedhandslightskintone:
1 day ago,Mere channel par View nhi aa rha hai,0,@10m_subcriber-pragyanpratap,FALSE,FALSE,FALSE,FALSE,,FALSE,,Mere channel par View nhi aa rha hai
1 day ago,Zakir khan ko b bulao bhai panel pe,0,@filmyreview493,FALSE,FALSE,FALSE,FALSE,,FALSE,,Zakir khan ko b bulao bhai panel pe
1 day ago,Mai Rakhi savant wala episode nhi dekhan chahta to channel unsubscribed kr diya,0,@anuragsharma4424,FALSE,FALSE,FALSE,FALSE,,FALSE,,Mai Rakhi savant wala episode nhi dekhan chahta to channel unsubscribed kr diya
1 day ago,Bhai pls yaar koi batoo Jo batega usko m pakka . Iske show m Jake usko mention krunga ??,0,@shahbazanjum-y6d,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai pls yaar koi batoo Jo batega usko m pakka Iske show m Jake usko mention krunga
1 day ago (edited),01:04:00,0,@evilpanther2242,FALSE,FALSE,FALSE,FALSE,,FALSE,,01:04:00
